Nimi;Lukumäärä
Pilvi;994
Marie;993
Else;991
Karita;989
Kyllikki;989
Victoria;989
Anna-Leena;983
Magnus;977
Solveig;976
Teresa;976
Annina;968
Tatiana;962
Anne-Maria;960
Gunilla;959
Valma;958
Sanna-Mari;953
Säde;948
Pirkko-Liisa;947
Carina;946
Marjo-Riitta;944
Tessa;943
Tiitus;943
Adele;938
Laina;936
Fiona;925
Hely;924
Janni;924
Leea;922
Ville-Veikko;921
Nanna;920
Victor;920
Sarah;918
Visa;918
Luna;915
Astrid;914
Susan;914
Teo;910
Jens;906
Erkka;902
Joose;901
Liam;898
Christer;897
Sasu;895
Virva;893
Albert;889
Armas;885
Aida;884
Jalo;883
Monika;882
Henriikka;875
Lyydia;874
Iikka;873
Ukko;873
Minka;869
Jose;867
Eliisa;866
Riia;865
Milka;864
Allan;863
Livia;858
Hanna-Kaisa;854
Maj-Britt;854
Rebecca;853
Charlotta;852
Aleksandra;846
Erica;844
Gun;844
Niila;844
Auvo;842
Josefiina;840
Janica;838
Meea;837
Ahmed;837
Jeremias;834
Helge;833
Petrus;833
Taito;831
Ester;828
Greta;827
Elia;826
Ebba;824
Ilmo;823
Venni;821
Malla;820
Kjell;815
Roger;813
Gabriel;809
Nikolas;809
Lilia;808
Filip;805
Maija-Leena;804
Nadja;804
Aleksanteri;802
Okko;799
Krister;798
Ingrid;796
Bror;795
Jasmine;794
Mirella;794
Lila;793
Amelia;792
Marjukka;792
Verna;792
Ekaterina;790
Antton;790
Ansa;788
Åsa;788
Annu;787
Niclas;787
Anne-Marie;786
Liisi;785
Noa;779
Marco;776
Valto;776
Isabel;775
Ava;773
Harriet;772
Rebekka;771
Alf;768
Aulikki;767
Viena;766
Sohvi;764
Oula;764
Inari;763
Nita;759
Waltteri;756
Iita;755
Jatta;755
Maaret;755
Jimmy;755
Aamu;754
Pipsa;751
Aamos;751
Jussi-Pekka;750
Vesa-Matti;750
Tellervo;748
Amalia;745
Ruut;745
Jonatan;743
Mimmi;741
Jon;741
Nelly;738
Selina;737
Paulus;735
Altti;732
Rafael;732
Anastasia;730
Iivari;730
Lyyli;727
Mirjami;723
Kaarle;721
Nicolas;718
Margareta;717
Sofie;716
Unna;715
Iines;713
Bea;705
Vincent;704
Isto;703
Annamari;701
Isa;700
Benita;698
Piritta;696
Mio;696
Gunnel;693
Richard;688
Göran;683
Alice;680
Pirita;676
Eric;676
Minni;671
Johnny;670
Ruth;664
Roy;662
Tove;661
Rea;658
Andrei;655
Theo;653
Onerva;648
Bertta;644
Ilja;644
Jarl;643
Gunvor;642
Eevert;640
Elviira;639
Amos;639
Börje;639
Ann-Mari;637
Maya;634
Adrian;634
Matleena;632
Mirkka;632
Turo;632
Sylvia;629
Milena;625
Jim;623
Annette;622
Ina;620
Rene;619
Mark;617
Jonni;616
Jennifer;611
Selja;611
Dennis;610
Yvonne;609
Mailis;607
Ann;605
Jare;605
Sarita;602
Isak;602
Tim;601
Ben;593
Nicholas;593
Orvokki;592
Suoma;591
Britta;589
Lydia;589
Tor;587
Ines;585
Sabina;584
Regina;582
Torsti;582
Doris;581
Atso;578
Neo;577
Emily;572
Pirjo-Riitta;572
Christoffer;572
Reko;570
Aron;569
Hermanni;567
Martina;566
Mohammad;566
Lily;565
Petja;564
Hanna-Maria;563
Sam;563
Elisabeth;562
Marju;562
Jalmari;562
Ilse;560
Hemmo;560
Elna;558
Alissa;557
Galina;555
Sinna;555
Noomi;553
Tara;553
Jasmiina;552
Siri;552
Patricia;550
Elea;549
Valentina;549
Walter;549
Carolina;548
Lara;541
Nikolai;541
Miki;539
Eve;538
Evelina;538
Frank;538
Helen;537
Jasu;537
Christa;532
Lili;532
Elis;529
Christel;528
Ulrika;528
Tatjana;527
Håkan;526
Henna-Riikka;525
Dani;524
Aapeli;522
Kielo;521
Ria;521
Eppu;521
Maj-Lis;520
Veronica;520
Raakel;519
Saini;519
Ilmi;516
Linn;516
Pietari;514
Siina;513
Kaius;513
Felicia;512
Vladimir;509
Ida-Maria;508
Natalie;508
Anne-Maarit;506
Ville-Pekka;506
Ritva-Liisa;505
Eljas;504
Elliot;504
Sofi;500
Pirjo-Liisa;499
Bjarne;499
Ensio;499
Omar;499
Juri;495
Eivor;494
Hellevi;493
Jessika;493
Vesa-Pekka;492
Signe;490
Lisbeth;489
Silva;487
Mirko;487
Claudia;485
Elvira;481
Leona;480
Aksel;480
Raino;480
Aukusti;479
Elisabet;476
Charlotte;475
Aleksandr;475
Jaro;474
Loviisa;472
Sanna-Kaisa;472
Sirja;472
Valter;472
Arno;470
Mohammed;467
Silvia;465
Eeva-Maria;463
Eija-Liisa;463
Antti-Jussi;463
Josefina;462
Vilhelmiina;462
Arne;460
Nuppu;458
Åke;458
Helmiina;455
Christopher;455
Kauno;452
